Address,Amt of Transactions,Amt of Purchases,Total Val. of Purchases (BTC),Amt of Sales,Total Val. of Sales (BTC),Profit within Query Range
1Lt7F1ZSxQUZdYSQc7NAXPWZ6pzMvHnHCw,1,0,0,1,50.0,50.0
1B6WVyUuhCmPtFutQhyZESXPWj4ry78cXX,1,0,0,1,50.0,50.0
15Tp1VYpCYmfyhEammvzErPub7eMFqDCy3,1,0,0,1,50.0,50.0
15XCZBYKhABA72bf4GT4YjoUUREL1Vskci,1,0,0,1,50.0,50.0
1D7zewkg39QEg6pU6yeP48RUQRx2X2tTjw,1,0,0,1,50.0,50.0
1NvxeGCxHpZu8bhPkWohsXLyKUeP7SCjkQ,1,0,0,1,50.0,50.0
1KNkuCQ4qSUtB2i6HEVbmMNYCW2G9Sd6eF,1,0,0,1,50.0,50.0
18PME698MZ9QttKcyZ55gTprb5pzXVmjh3,1,0,0,1,50.0,50.0
1FX7iSuiAAPXjag7mxNiEB4XmbmFCLRWMB,1,0,0,1,50.0,50.0
17C4BPQ7Rxy95iEGLk7PRVwpiZ4Wts98oJ,1,0,0,1,50.0,50.0
1Dc8yR8ka7EdYcMMnYdEvviFUjGVGSe5iz,1,0,0,1,50.0,50.0
1MMRdibuEE7KYtWpGeomf3fcDF7d7oUU6A,1,0,0,1,50.0,50.0
1Ncibb8rS3v6e7Wajq1YURqN1HPYXBrx4D,1,0,0,1,50.0,50.0
1yF2ds1NXinkk5EY4QxjALETbjy21MLky,1,0,0,1,50.0,50.0
1L7bKVSPiUFdaBG8tmJmqRNe5Pr1jBHZUi,1,0,0,1,50.0,50.0
16uVHfigwJb7CbohiLXXPPH3WVp2nwHhsY,1,0,0,1,50.0,50.0
1PRVBRDAmn3JhZZweZNCyyK2RztncQmBoD,1,0,0,1,50.0,50.0
1AnzojDHJE7oYMLX7GtCm1sekmDDD8k2iw,1,0,0,1,50.0,50.0
1CDqusyNcFixsauXTFJzDBu6EjZchiKNkx,1,0,0,1,50.0,50.0
1JSGK3rw9CTr7NwkeWpKkZpvu9whuYsaLh,1,0,0,1,50.0,50.0
1KkPRrUuSWnT4odRrFkpb2mEdnzYnNcjRx,1,0,0,1,50.0,50.0
1PAAoiykARH8ttizcjjg9qGKr4ooYQQeF5,1,0,0,1,50.0,50.0
1E8iCFt3k5EYE1DcuABxVLXjSHY6tsCz2q,1,0,0,1,50.0,50.0
1JFc91G4R1Ea1TyYFnq3tPDYcXoy7UY9Kf,1,0,0,1,50.0,50.0
1KdPkDbvgfQV8ZDi34DXcd1n2emxU3SBs2,1,1,50.0,0,0,-50.0
17vm6S18PBxxxW6f5GpEkTfoLwAhg7tNcw,1,1,50.0,0,0,-50.0
19k8nToWwMGuF4HkNpzgoVAYk4viBnEs5D,2,0,0,2,300.0,300.0
1ArBXXgSHRtHxQb3j1gCWa6m3DDbVLCpEB,1,1,50.0,0,0,-50.0
12LiXCnQLDE8tR27DeULAmssXqbHfVZLCz,1,1,50.0,0,0,-50.0
1A6EgvndmkwmybkS2Ap2866ExxALFQhUkT,1,1,50.0,0,0,-50.0
12DgaVp5N9dN2bErADp6deK1A84Mxp7Y3H,1,1,50.0,0,0,-50.0
1FVNjtEKwqMrdDAG54SKV9Cd55TbzWtHJ1,1,0,0,1,50.0,50.0
1JXRedXPArWhYCbDsWsfDoiE94iDpGTVUn,1,0,0,1,50.0,50.0
1KqSykMw6J6hwDgb45urxrNAe48K81ekNi,1,0,0,1,50.0,50.0
1QEzjUdwtQ5LwEm5o3RB7NWtCsm2X426Qa,1,0,0,1,50.0,50.0
16DAoKoPWfb3oKyGsQeWbqTyX9Kwq465SU,1,0,0,1,50.0,50.0
1KuBkS321kHM3ENAp3sJhtAq7y3zYihtiN,1,0,0,1,50.0,50.0
1PN3E1TEmNJ5yhqaStXMUeM4kU2ND6n59o,1,0,0,1,50.0,50.0
1KrbPKCmSzxbmNZHnschyB3iSS8Geoxmis,1,0,0,1,50.0,50.0
142N2UmdS11jC4Xkjc2CQMTmDdDuU8cjfe,1,0,0,1,50.0,50.0
1NfBgFzKHWC8NDzHUSe9pU5LWbk9hRCRYF,1,0,0,1,50.0,50.0
1KV6ugmZX3kZN82BFugBwBrwkWk2Q5x123,1,0,0,1,50.0,50.0
1Gkqu6zsb75Axegfwx77pVSFBMtLWJgxgV,1,0,0,1,50.0,50.0
