Address,Amt of Transactions,Amt of Purchases,Total Val. of Purchases (BTC),Amt of Sales,Total Val. of Sales (BTC),Profit within Query Range
bc1q3rnccsx35md32nhkzy7rh2wlvpvmpwuxxs7cl9,3,2,0.00201592,1,0.00059677,-0.00141915
bc1qgl6u5l6gu9h8c4vxy9tq9g6dzpc9m4hzh6nzc5,3,2,0.00316674,1,0.00153125,-0.00163549
bc1qasdv46ln069nu6e9j0nfmdajn8flrpukn0pjrk,3,2,0.0024,1,0.00040307,-0.00199693
bc1qyg4pst98smzn8k58nlnhgzgqc9tqqq7jvzgthw,3,2,0.00372218,1,0.00124897,-0.00247321
3AQjwxCfMuqv8Bn4HEXh4PiLN8KR3mNvr8,3,2,0.0141312,1,0.01081325,-0.00331795
bc1q0k7d34ad38gxhsjns2l6zfsl0kc8mtwfv85l0q,3,2,0.00490732,1,0.00122168,-0.00368564
bc1q0x3kcdtvvp4rzh7qm8qyp5afh6fv7jj5dfkgz2,3,2,0.01232456,1,0.00616059,-0.00616397
3MVkJ3DDqzknFZd6St4yepZm6NUjWmRBrT,3,1,0.0071973,2,0.0008457,-0.0063516
bc1qf0zxhrsuqhgqk4p6n6px2jdt8n23vqrf25jgyd,3,3,0.0133218,0,0,-0.0133218
1EgAnsPCg9WR5pP5oQAo5uCQPbHMZTqPZf,3,3,0.01428036,0,0,-0.01428036
34CYgCCvyynhL6NfVqKC8uMgeZ1ppyLJW2,3,3,0.01755165,0,0,-0.01755165
32h4uctxqDGXR7g1C423F8ZFg1dj2rniJN,3,3,0.01860183,0,0,-0.01860183
1KVwvexqKQn9eRxuXfRja8SpFHEsff72B9,3,3,0.01885164,0,0,-0.01885164
bc1qj34zcvvedwglgueftyxag6sc3lkl4patpfwslt,3,3,0.0305676,0,0,-0.0305676
bc1q6zwuegvgg5sztwnfyut34x098dxxv5vc77tpr7,3,2,0.04920982,1,0.01758731,-0.03162251
bc1q7j78tw9l7fgdgagear68ysmfgww7cj5txxvdv8,3,2,0.0650454,1,0.03196402,-0.03308138
1KQr5FGaMj1w9Yr6RQyqvRYfsV3tawXA2Y,3,1,0.1143207,2,0.08022144,-0.03409926
bc1qja5c9pgfymuyltsqzp5wauyah6zm5p6s9guwsl,3,2,0.04210392,1,0.00128591,-0.04081801
bc1qw7tzuc5075hly82zwg5hxud0tk7ptw2dd9r8kf,3,3,0.04591752,0,0,-0.04591752
bc1q7lv64xjsa5khz995jsd73ulch3sxy63cexrhqj79cyhne4z6kdgscxgupk,2,0,0,2,4.2597029,4.2597029
3L1p2tUHPwrRN3qgf4Hm1R73e29hFshbnp,2,1,0.00864553,1,1.21717936,1.20853383
1BhNBVQEF8E7QiVgvcDpVLj8BHuKXiQhL7,2,0,0,2,0.69535986,0.69535986
12CeCTTKXNW1D57Pzfc2QheJBEHd37Cnq8,2,1,0.0217117,1,0.10872382,0.08701212
3B4EkCbHgb1E937tV1dUjsZKgXqccDzjrH,2,1,0.0197004,1,0.04109076,0.02139036
bc1qgcwgcwywl86lxxyka0mq8w9xatqmnj3u5zkzu0,2,0,0,2,0.0121268,0.0121268
bc1quq4ypv495rx4j0j2sc6xxc08q9ew09q5fmlgmz,2,0,0,2,0.01180095,0.01180095
bc1qys3p36hntzr3susv9emhh667ansnzglpsnc6hw,2,0,0,2,0.00884594,0.00884594
bc1qq3z79y8kju3r4r6ae42zncealgwchre9k7pc8x,2,0,0,2,0.00864685,0.00864685
bc1q77wdm98vn7n69hl2gy9q5zhla7p9ek93kt93t3,2,0,0,2,0.0083711,0.0083711
3QcYz5rumwEjtCQQmqvEiZ4rBuGwh8cm5B,2,0,0,2,0.00823611,0.00823611
bc1qsvd3rd0uz33qvqn5py3tdue9x7pm8fr5caz8ma,2,0,0,2,0.00796176,0.00796176
16WtEBqJwtXrCSjyRJmmn5wtNnGKKMjMjX,2,0,0,2,0.00736098,0.00736098
bc1qp8vhsqtz0fwvdvfsad22l46vt5hangedkl7key,2,0,0,2,0.00697287,0.00697287
bc1q0znzy4yka3jlhns6fu50fr4sqatm7hw2dw2g29,2,0,0,2,0.00689129,0.00689129
16r7U7GqbVPeKukgfd3mUN9LCkuoKbfpXM,2,0,0,2,0.00567519,0.00567519
bc1q3tqdees5drq2x9klly998jewq2qtx33y8m0tgm,2,0,0,2,0.0049951,0.0049951
bc1qet90whuf2tpc7hkgjcetq0naakdae68smvqr8j,2,0,0,2,0.00439699,0.00439699
34vizU47AtWmWJQRWPGnWpSpvpaq49N4ph,2,1,0.00482516,1,0.00827964,0.00345448
bc1q3szn2myce4mvx7xyu0czleru7jgsf83hsyrvlv,2,0,0,2,0.00328022,0.00328022
bc1qjev7zac40jcpl7qay7txlstgl703zsmzfs4w5g,2,0,0,2,0.00297589,0.00297589
bc1q4rge3pe49xagaf3x0a4vw770vtlhvg6mawq4pz,2,0,0,2,0.00253941,0.00253941
bc1qgrpcnqn2u7xajmhfdgun3tf6tfjcamaa72gdkg,2,0,0,2,0.00239612,0.00239612
bc1qu6f2fkrhkyvml62s0nqx8l392kvsfyydg3xwqe,2,0,0,2,0.00207373,0.00207373
3CBiHsoX7NVxESGfm675n2shSKHujKrrk8,2,1,0.00637641,1,0.00840245,0.00202604
bc1q22nsvd3333sk449063y0zefrch8gkyw2pyg0q8,2,1,8.00E-05,1,0.00098411,0.00090413
bc1qyqpnpwykvqchlqgvqt9hkgtwm5ect3s0ug94ad,2,0,0,2,0.00088317,0.00088317
bc1qnpv9g6l7krjdjdzylkacmdmlxcrkvqe0zpds0q,2,0,0,2,0.0008758,0.0008758
